index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.appgefahren.de/die-highlights-der-woche-der-advent-ist-wieder-da-370097.html,https://www.appgefahren.de/die-highlights-der-woche-der-advent-ist-wieder-da-370097.html,0,www.appgefahren.de,Die Highlights der Woche: Der Advent ist wieder da,"Heute fallen der 1. Dezember und der 1. Advent mal wieder auf einen Tag. Nachdem wir die letzten Tage im Black Friday Wahnsinn gefangen waren, sind wir jetzt plötzlich schon mitten in der Weihnachtszeit. Den ersten Besuch auf dem Weihnachtsmarkt haben wir nat…",https://www.appgefahren.de/wp-content/uploads/2024/12/Weihnachten-Advent-1.jpg,2024-12-01T08:44:58Z,,"Heute fallen der 1. Dezember und der 1. Advent mal wieder auf einen Tag. Nachdem wir die letzten Tage im Black Friday Wahnsinn gefangen waren, sind wir jetzt plötzlich schon mitten in der Weihnachtsz… [+1952 chars]",,de,'Weihnachtsmarkt'
https://www.morgenpost.de/kultur/article407799831/gemeinsamkeit-ist-manchmal-einsamkeit-changes.html,https://www.morgenpost.de/kultur/article407799831/gemeinsamkeit-ist-manchmal-einsamkeit-changes.html,0,www.morgenpost.de,Gemeinsamkeit ist manchmal Einsamkeit: „changes“,"Anna Schudt und Jörg Hartmann, einst gemeinsam im „Tatort“ unterwegs, porträtieren an der Schaubühne die Probleme eines Pärchens.",https://img.sparknews.funkemedien.de/407799830/407799830_1733053991_v16_9_1600.jpeg,2024-12-01T11:53:11Z,http://archive.md/20241201183727/https://www.morgenpost.de/kultur/article407799831/gemeinsamkeit-ist-manchmal-einsamkeit-changes.html,"Berlin. Anna Schudt und Jörg Hartmann, einst gemeinsam im Tatort unterwegs, porträtieren an der Schaubühne die Probleme eines Pärchens.",,de,'Einsamkeit'
https://www.diepresse.com/19131714/kaltfront-bringt-regen-und-glatteis-nach-oesterreich,https://www.diepresse.com/19131714/kaltfront-bringt-regen-und-glatteis-nach-oesterreich,0,www.diepresse.com,Kaltfront bringt Regen und Glatteis nach Österreich,Im Laufe der Woche wird es deutlich kälter: Am Dienstag zieht von Westen her eine Kaltfront durch. Damit überwiegen vielerorts die Wolken und im Westen und Norden regnet es recht häufig.,https://img.diepresse.com/public/incoming/igb9nc-GERMANY-WEATHER-FEATURE/alternates/DPR_SOCIAL_NACHRICHTEN/GERMANY-WEATHER-FEATURE,2024-12-01T12:17:51Z,https://web.archive.org/web/20241202024124/https://www.diepresse.com/19131714/kaltfront-bringt-regen-und-glatteis-nach-oesterreich,"Im Laufe der Woche wird es deutlich kälter: Am Dienstag zieht von Westen her eine Kaltfront durch. Damit überwiegen vielerorts die Wolken und im Westen und Norden regnet es recht häufig. 
Während am… [+2637 chars]",,de,'Glatteis'
https://www.telepolis.de/features/Problemzone-Weihnachtsmarkt-Terrorangst-und-Namensstreit-10184020.html,https://www.telepolis.de/features/Problemzone-Weihnachtsmarkt-Terrorangst-und-Namensstreit-10184020.html,0,www.telepolis.de,Problemzone Weihnachtsmarkt: Terrorangst und Namensstreit,"Behörden sehen abstrakt hohe Gefahr islamistischer Anschläge. Der Kulturkampf um das Wort ""Wintermarkt"" tobt schon länger. Legen Muslime wirklich Wert darauf?",https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/4/7/5/5/1/3/9/lights-4705882_1280-54208fdc9865cdd0.jpeg,2024-12-01T13:00:00Z,,"Weihnachts- oder Wintermarkt? Symbolbild: Pixabay Licence
Behörden sehen abstrakt hohe Gefahr islamistischer Anschläge. Der Kulturkampf um das Wort ""Wintermarkt"" tobt schon länger. Legen Muslime wir… [+6769 chars]",,de,'Weihnachtsmarkt'
https://www.faz.net/aktuell/rhein-main/frankfurt/rassismusdebatte-kakao-mit-schuss-statt-lumumba-110146183.html,https://www.faz.net/aktuell/rhein-main/frankfurt/rassismusdebatte-kakao-mit-schuss-statt-lumumba-110146183.html,0,www.faz.net,Namensdiskussion: Streit um Heißgetränk „Lumumba“,Eine heiße Schokolade mit Rum soll auf dem Frankfurter Weihnachtsmarkt nicht mehr „Lumumba“ heißen. Wie eine Diskussion um einen Namen zum Thema zwischen Weihnachtsbuden wird.,https://media1.faz.net/ppmedia/aktuell/gesellschaft/228348693/1.10146229/facebook_teaser/waermt-von-innen-zwei.jpg,2024-12-01T13:04:55Z,http://archive.md/20241201125813/https://www.faz.net/aktuell/rhein-main/frankfurt/rassismusdebatte-kakao-mit-schuss-statt-lumumba-110146183.html,"Rund um das Heißgetränk Lumumba, das auf den Weihnachtsmärkten der Region verkauft wird, ist eine Diskussion um den Namen entbrannt. In Frankfurt hat die Tourismus und Congress-Gesellschaft (TCF), di… [+2506 chars]",,de,'Weihnachtsmarkt'
https://www.stern.de/sport/wintersport--geiger-siegt-zum-abschluss--kombinierer-starten-furios-35274024.html,https://www.stern.de/sport/wintersport--geiger-siegt-zum-abschluss--kombinierer-starten-furios-35274024.html,0,www.stern.de,Wintersport: Geiger siegt zum Abschluss: Kombinierer starten furios,Die deutschen Nordischen Kombinierer trumpfen nach einem schwierigen Jahr zum Saisonstart groß auf. Jetzt soll gefeiert werden. Der Erfolg macht auch Mut für die anstehenden Herausforderungen.,https://image.stern.de/35274026/t/gz/v1/w1440/r1.7778/-/01--jv5pjeswo5v1axs2048jpeg---19a03f7832911883.jpg,2024-12-01T13:18:05Z,,"Kopiere den aktuellen Link
Die deutschen Nordischen Kombinierer trumpfen nach einem schwierigen Jahr zum Saisonstart groß auf. Jetzt soll gefeiert werden. Der Erfolg macht auch Mut für die anstehend… [+2382 chars]",,de,'Wintersport'
https://www.tagesspiegel.de/sport/wintersport-geiger-siegt-zum-abschluss-kombinierer-starten-furios-12801779.html,https://www.tagesspiegel.de/sport/wintersport-geiger-siegt-zum-abschluss-kombinierer-starten-furios-12801779.html,0,www.tagesspiegel.de,Wintersport: Geiger siegt zum Abschluss: Kombinierer starten furios,Die deutschen Nordischen Kombinierer trumpfen nach einem schwierigen Jahr zum Saisonstart groß auf. Jetzt soll gefeiert werden. Der Erfolg macht auch Mut für die anstehenden Herausforderungen.,https://www.tagesspiegel.de/images/12801776/alternates/BASE_16_9_W1400/1733059152000/fis-weltcup-ruka.jpeg,2024-12-01T13:19:12Z,https://web.archive.org/web/20241202012754/https://www.tagesspiegel.de/sport/wintersport-geiger-siegt-zum-abschluss-kombinierer-starten-furios-12801779.html,"Der fulminante Saisonstart ließ Eric Frenzel breit grinsen. Oh, ja. Das kann man sich gar nicht besser wünschen, sagte der Cheftrainer der deutschen Nordischen Kombinierer im ZDF. Zum Abschluss des A… [+2238 chars]",,de,'Wintersport'
https://www.bild.de/unterhaltung/stars-und-leute/aurora-ramazzotti-romantischer-antrag-im-riesenrad-674c52a86ee5aa76f748eb8f,https://www.bild.de/unterhaltung/stars-und-leute/aurora-ramazzotti-romantischer-antrag-im-riesenrad-674c52a86ee5aa76f748eb8f,0,www.bild.de,Im Riesenrad ging er auf die Knie - Verlobt! Aurora RamJAAAAAAzotti,"Aurora Ramazzotti, Tochter von Michelle Hunziker und Eros Ramazzotti, hat im Riesenrad auf Londons Weihnachtsmarkt „Winter Wonderland“ JA gesagt.","https://images.bild.de/674c52a86ee5aa76f748eb8f/ea66af246603cea4ba83ca3344d548e5,7f96356d?w=1280",2024-12-01T14:30:31Z,https://web.archive.org/web/20241201171109/https://www.bild.de/unterhaltung/stars-und-leute/aurora-ramazzotti-romantischer-antrag-im-riesenrad-674c52a86ee5aa76f748eb8f,Gondel ins Eheglück! Aurora Ramazzotti hat großartige Neuigkeiten: Die Tochter von Michelle Hunziker (47) und Eros Ramazzotti (61) hat im Riesenrad einen Heiratsantrag bekommen. Und natürlich nicht l… [+1950 chars],,de,'Weihnachtsmarkt'
https://www.focus.de/panorama/welt/lumumba-beliebtes-weihnachtsmarkt-getraenk-entfacht-heftige-rassismusdebatte_id_260527474.html,https://www.focus.de/panorama/welt/lumumba-beliebtes-weihnachtsmarkt-getraenk-entfacht-heftige-rassismusdebatte_id_260527474.html,0,www.focus.de,Rassismusdebatte um Heißgetränk - Schluss mit Lumumba! Deutsche Großstadt will Namen von Weihnachtsmärkten verbannen,"Wird es Lumumba in der Form, wie wir es kennen, bald nicht mehr geben? Rund um das beliebte Heißgetränk (Schokolade, Rum und Sahne), das auf jedem Weihnachtsmarkt ein Renner ist, ist eine Rassismusdebatte entbrannt.",https://p6.focus.de/img/kultur/id_257868377/weihnachtsmarkt-klassiker-rassismus-diskussion-um-lumumba.jpg?im=Crop%3D%280%2C30%2C1600%2C800%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=4859a6e47f7a2a31c5448895a24164017865899894bcb42014e39065b5155578,2024-12-01T20:09:31Z,,"Eine deutsche Großstadt hat nun Betreibern auf den Weihnachtsmärkten empfohlen, Lumumba umzubenennen. Die Tourismus und Congress-Gesellschaft (TCF) in Frankfurt hat den Schaustellerinnen und Schauste… [+1616 chars]",,de,'Weihnachtsmarkt'
https://www.focus.de/finanzen/karriere/fragen-aus-dem-arbeitsrecht-gluehweinzeit-darf-ich-in-der-mittagspause-alkohol-trinken_id_260527794.html,https://www.focus.de/finanzen/karriere/fragen-aus-dem-arbeitsrecht-gluehweinzeit-darf-ich-in-der-mittagspause-alkohol-trinken_id_260527794.html,0,www.focus.de,Fragen aus dem Arbeitsrecht - Glühweinzeit: Darf ich in der Mittagspause Alkohol trinken?,Die Weihnachtsmarkt-Zeit ist in vollem Gange. Da ist der Glühwein in der Mittagspause eine willkommene Abwechslung zum üblichen Lunch-Programm. Oder droht dann Ärger mit dem Arbeitgeber?,https://p6.focus.de/img/finanzen/karriere/id_260527793/ein-glas-gluehwein-in-der-pause-ist-in-vielen-faellen-unproblematisch-wenn-die-taetigkeit-es-erlaubt..jpg?im=Crop%3D%280%2C170%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=744a99d12dcd493d1bd133b0a83d79e132aa3f0563e5da12db2fe7d9eece1e3f,2024-12-02T00:00:05Z,,"Der Weihnachtsmarkt liegt gleich um die Ecke, und in der Pause schlendern Sie mit den Kollegen durch die festlichen Stände. Ist ein Glas Glühwein jetzt in Ordnung?
Grundsätzlich hat Ihr Arbeitgeber … [+1871 chars]",,de,'Weihnachtsmarkt'
